time	searchRound	stringDistance	superordinate	subordinate_positive	N_positive	mean_positive	sd_positive	subordinate_negative	N_negative	mean_negative	sd_negative	subordinate_neutral	N_neutral	mean_neutral	sd_neutral	subordinate_ambivalent	N_ambivalent	mean_ambivalent	sd_ambivalent
2022-05-25T13:37:57Z	1	3	allgemeines Lehrklima	allgemeines Lehrklima	10	1.5	0.71	allgemeines Lehrklima	1	-1	NA	allgemeines Lehrklima	48	0	0	allgemeines Lehrklima	4	10	0
2022-05-25T13:38:11Z	2	3	Dozent*innen	Dozenten	6	1.83	0.75	Dozenten // Dozenten II	2	-2	1.41	Dozenten	2	0	0	Dozenten	3	10	0
2022-05-25T13:38:50Z	3	3	Masterplatzvergabe		0	NA	NA	master nc // Master NC	4	-2.5	1		0	NA	NA		0	NA	NA
2022-05-25T13:40:52Z	4	3	wenig Mitspracherecht		0	NA	NA	kaum Mitspracherecht // kein Mitspracherecht // wenig Mitspracherecht	4	-2.25	0.96		0	NA	NA		0	NA	NA
2022-05-25T13:41:30Z	5	3	Prüfungsamt	Prüfungsamt	2	1.5	0.71		0	NA	NA		0	NA	NA	Prüfungsamt	1	10	NA
2022-05-25T13:41:49Z	6	3	Fragen		0	NA	NA	Fragen	1	-2	NA		0	NA	NA		0	NA	NA
2022-05-25T13:44:26Z	7	3	Zeitmangel		0	NA	NA	Zeit	3	-2	0		0	NA	NA		0	NA	NA
2022-05-25T13:45:02Z	8	3	Studiumsinhalt		0	NA	NA	Lernstoff	1	-2	NA		0	NA	NA		0	NA	NA
2022-05-25T13:45:28Z	9	3	Hilfsbereitschaft	persönliche Hilfe	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-25T13:45:36Z	10	3	Online-Lehre 		0	NA	NA		0	NA	NA		0	NA	NA	Online-Lehre _ambivalent // Online-Lehre_ambivalent	8	10	0
2022-05-25T13:46:03Z	11	3	Praktikumssuche		0	NA	NA	Praktikasuche // Praktikumssuche	5	-2.6	0.55		0	NA	NA		0	NA	NA
2022-05-25T13:47:02Z	12	3	Pandemiesituation		0	NA	NA		0	NA	NA	pandemiesituation	1	0	NA	Pandemiesituation	1	10	NA
2022-05-25T13:47:26Z	13	3	Folien		0	NA	NA	Floien	1	-1	NA		0	NA	NA		0	NA	NA
2022-05-25T13:47:57Z	14	3	Berufsaussichten	Jobaussicht	1	2	NA		0	NA	NA		0	NA	NA	Jobaussichten?	1	10	NA
2022-05-25T13:48:38Z	15	3	Motivation	Motivation	8	1.88	0.64	Demotivation // Motivation	3	-2.33	1.15	Motivation	1	0	NA		0	NA	NA
2022-05-25T13:49:37Z	16	3	Engagement		0	NA	NA		0	NA	NA		0	NA	NA	Lehrmotivation	1	10	NA
2022-05-25T13:49:54Z	17	3	Bibliothek	Bib // UB	2	2	0		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-25T13:50:10Z	18	3	Lernen	Lernen	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-25T13:50:40Z	19	3	sozialer Vergleich		0	NA	NA	Vergleich	1	-3	NA		0	NA	NA		0	NA	NA
2022-05-25T13:51:03Z	20	3	Masterplatzvergabe		0	NA	NA	NC für Master // NC im Master	3	-2.33	1.15		0	NA	NA		0	NA	NA
2022-05-25T13:53:56Z	21	3	Vorlesungen	Vorlesungen: gut strukturiert	1	2	NA	Vorlesungen: - strukturiert	1	-2	NA		0	NA	NA		0	NA	NA
2022-05-25T13:54:42Z	22	3	Unterstützung	unterstützend // Unterstützung	3	1	0		0	NA	NA	Unterstützung	1	0	NA		0	NA	NA
2022-05-25T13:55:15Z	23	3	NC		0	NA	NA	Noten	1	-3	NA	Noten	1	0	NA		0	NA	NA
2022-05-25T13:55:34Z	24	3	Erfolgserleben	Erfolgserleben // Erfolgserlebnis	2	2.5	0.71		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-25T13:55:54Z	25	3	Motivation	hohe Motivation // höhere Motivation	2	3	0		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-25T13:56:29Z	26	3	Masterplatzvergabe		0	NA	NA	Notendruck Masterplatz // Notendruck- Masterplätze	2	-1.5	0.71		0	NA	NA		0	NA	NA
2022-05-25T13:57:11Z	27	3	Masterplatzvergabe		0	NA	NA	wenig Masterplätze // Zu wenig Masterplätze	4	-2.5	0.58		0	NA	NA		0	NA	NA
2022-05-25T13:57:37Z	28	3	Überforderung		0	NA	NA	überfordernd // Überforderung	2	-1.5	0.71		0	NA	NA		0	NA	NA
2022-05-25T13:57:59Z	29	3	Materialien	Medien	1	3	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-25T13:58:57Z	30	3	Studiengang Psychotherapie		0	NA	NA		0	NA	NA		0	NA	NA	neuer Master	1	10	NA
2022-05-25T13:59:39Z	31	3	Dozent*innen	Nett	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-25T14:00:14Z	32	3	Institut	am Institut	1	1	NA		0	NA	NA		0	NA	NA	Institut	1	10	NA
2022-05-25T14:00:39Z	33	3	Stress		0	NA	NA	Vermeidung	1	-1	NA		0	NA	NA		0	NA	NA
