time	searchRound	searchTerm	superordinate	subordinate_positive	N_positive	mean_positive	sd_positive	subordinate_negative	N_negative	mean_negative	sd_negative	subordinate_neutral	N_neutral	mean_neutral	sd_neutral	subordinate_ambivalent	N_ambivalent	mean_ambivalent	sd_ambivalent
2022-05-30T17:12:08Z	1	Viel Zeit allein|Einsamkeit|Isolation	Isolation		0	NA	NA	Isolation_negative // Viel Zeit allein // Einsamkeit	3	-2	0		0	NA	NA		0	NA	NA
2022-05-30T17:12:36Z	2	keine 2.|keine Verb	keine Klausurverbesserung		0	NA	NA	keine 2. Versuche // keine Verbesserungsklausuren	2	-2	0		0	NA	NA		0	NA	NA
2022-05-30T17:16:08Z	3	Klausuren|Klausurauf|Art der Prü|unklare Klau|Anzahl Prü|Stress in|Prüfungsphase|Klausurwiederholhung|Prüfungszeitraum|v.a.|Infos über P|Prüfungen|Viele Klausuren	Klausuren		0	NA	NA	Klausuraufbau // Art der Prüfungen // Klausuren_negative // unklare Klausurrelevanz // Anzahl Prüfungen // Stress in Klausurenphase // Prüfungsphase // Prüfungszeitraum // v.a. in Prüfungsphasen // Infos über Prüfungen // Prüfungen // Viele Klausuren/ Abgaben	12	-1.92	0.79		0	NA	NA		0	NA	NA
2022-05-30T17:16:47Z	4	Klausuren|Klausurwiederhohlung	Klausuren		0	NA	NA	Klausuren_negative // Klausurwiederhohlung	13	-1.92	0.76		0	NA	NA		0	NA	NA
2022-05-30T17:17:44Z	5	Links|elitär|junge Kom|Zusammenhalt	Kommiliton*innen		0	NA	NA	"Studenten ""elitär"" // Links-Grüner ""Vibe"" // Zusammenhalt im Semester // junge Kommilitoninnen"	4	-1.25	0.5		0	NA	NA		0	NA	NA
2022-05-30T17:18:44Z	6	Kompetitivität|Konkurrenzdenken|Konkurrenz|Rivalitäten|Missgunst	Kompetitivität		0	NA	NA	Kompetitivität_negative // Unfzufriedenheit, Missgunst // Konkurrenz zwischen Studenten	9	-1.89	0.78		0	NA	NA		0	NA	NA
2022-05-30T17:21:34Z	7	Lehrstil|Lehre als|Pädagogische|teilweise etwas| Wenig Transfer|autoritär|sehr vor|sensible|vielfalt in lehr|Beibringen|Lerninhalte|Verschul|Vertrauen in Lehre	Lehrstil		0	NA	NA	Lehre als Pflicht // Pädagogische  Mängel // teilweise etwas altbacken // autoritär // sehr vortragslastig // sensible vermittlung der // vielfalt in lehrkonzepten // Beibringen des Lerninhaltes // Lerninhalte durchdringen // Vertrauen in Lehre // Verschulter Studiengang	11	-2	0.63		0	NA	NA		0	NA	NA
2022-05-30T17:29:24Z	8	durch Eltern|Judgement|Performanz|Leistungsdruck|Notendruck|Angst vor Noten|Durchschnitt immer|Fokus auf No|orientierung auf|Druck bezüglich|Druck Regel|Struktureller|sehr hoch|während des	Leistungsdruck		0	NA	NA	"Leistungsdruck_negative // Leistungsbezoeger Judgement // Performanzorientierung // Angst vor Noten // Durchschnitt immer präsent // Fokus auf Noten // orientierung auf note--> // Druck bezüglich ""Durchfallen"" // Druck Regelstudiezeit // Struktureller Leistungsdruck // Leistungsdruck // während des Studiums"	19	-2.11	0.74		0	NA	NA		0	NA	NA
2022-05-30T17:29:59Z	9	Oberfläche|Lernen für|Vorwissen	Lernen		0	NA	NA	Oberfläche statt Tiefe // Lernen für Klausuren // Vorwissen	3	-1.67	1.15		0	NA	NA		0	NA	NA
2022-05-30T17:30:57Z	10	Literatur|nicht hilfreich|einige nicht	Literatur		0	NA	NA	Literatur_negative // nicht hilfreich // Spezielle Literatur // einige nicht kostenlos	6	-1.67	0.82		0	NA	NA		0	NA	NA
2022-05-30T17:37:10Z	11	Masterplatzvergabe|master nc|Master NC|Masterstudien|Zu wenig Master|Masterplatz|begrenzte|wenig Master|Hoher Master|hoher NC|Kampf um|Mangel Master|NC|Notendruck|Notenvoraussetzung|Zulassung|Bachelornote|Zulassung|Gute Note Master|Klinischer|Freiburg|wegen Master-NC	Masterplatzvergabe		0	NA	NA	Masterplatzvergabe_negative // Notenvoraussetzung für Master // Zulassung zum Master // NC Master Freiburg // Mangel Masterplätze // NC für Masterstudienplatz // Notendruck für Master // Klinischer master // NC für Masterplatz // Angst um Masterplatz_negative // Masterstudienplatz? // Zulassung: schwer // Notendruck Bachelornote // Masterplatzvergabe // Kampf um Masterplätze // begrenzte Masterplätze	42	-2.29	0.77		0	NA	NA		0	NA	NA
2022-05-30T17:39:18Z	12	Demotivation|Motivation|demotivierend|motivationssenkend|Lustlos	Motivation		0	NA	NA	Motivation_negative // Lustlosigkeit // motivationssenkend // Motivationsschwierigkeiten	8	-2.25	0.71		0	NA	NA		0	NA	NA
2022-05-30T17:42:14Z	13	NC|vor Studienstart|Numerus|Zulassungsbe|Studieneinga|Anzahl Plätze|Noten	NC		0	NA	NA	NC_negative // vor Studienstart // niedriger NC // Numerus Clausus // Zulassungsbeschränkungen // Studieneingangsbeschränkung // Anzahl Plätze	16	-2.25	0.77		0	NA	NA		0	NA	NA
2022-05-30T17:46:21Z	14	neue Prüfungsordnung|neue PO|ECTS|Umstellung der|Umstellungsphase	neue Prüfungsordnung		0	NA	NA	neue Prüfungsordnung_negative // ECTS Umstellung // Änderung ECTS // Umstellung der Prüfungsordnung // schwierige Umstellungsphase	5	-2.2	0.84		0	NA	NA		0	NA	NA
2022-05-30T17:48:13Z	15	Notengebung|Noteninfla|Verschobene|Notenschnitt	Noteninflation		0	NA	NA	Noteninflation_negative // Verschobene Notenskala // Notengebung tlws. merkwürdig // Notenschnitt Klausuren	4	-2	0.82		0	NA	NA		0	NA	NA
