id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31449,31454,31534,Solid-Weak,1199,0,none,19:58:08,2158
31442,31502,31508,Solid-Weak,1199,0,none,19:56:27,2158
31441,31502,31505,Solid-Weak,1199,0,none,19:56:20,2158
31440,31502,31503,Solid-Weak,1199,0,none,19:56:19,2158
31439,31454,31502,Solid-Weak,1199,0,none,19:56:14,2158
31438,31483,31497,Solid-Weak,1199,0,none,19:56:10,2158
31437,31483,31500,Solid-Weak,1199,0,none,19:56:05,2158
31436,31483,31494,Solid-Weak,1199,0,none,19:56:02,2158
31431,31454,31483,Solid-Weak,1199,0,none,19:55:42,2158
31426,31454,31511,Dashed-Weak,1199,0,none,19:55:34,2158
31419,31454,31477,Solid-Strong,1199,0,none,19:55:03,2158
31417,31454,31478,Solid,1199,0,none,19:54:46,2158
31416,31454,31477,Solid-Weak,1199,0,none,19:54:32,2158
31414,31460,31474,Solid-Weak,1199,0,none,19:54:25,2158
31413,31458,31474,Solid-Weak,1199,0,none,19:54:22,2158
31412,31455,31474,Solid-Weak,1199,0,none,19:54:16,2158
31411,31454,31474,Solid-Weak,1199,0,none,19:54:08,2158
