id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
30810,technological implant,519.0,20.0,160.0,120.0,neutral,1051,1.0, ,,1,2137
31055,Unfair advantade over people without implant,76.0,41.0,160.0,120.0,negative strong,1051,25.0,,,1,2137
31043,Abuse of technology,307.0,48.0,160.0,120.0,negative strong,1051,24.0,,,1,2137
31027,No way to help people with sleeping disorders,431.0,519.0,160.0,120.0,negative strong,1051,21.0,,18:02:16,1,2137
31006,The whole project being terminated,382.0,389.0,160.0,120.0,ambivalent,1051,19.0,,18:00:30,1,2137
30996,Can be hacked,340.0,232.0,160.0,120.0,negative strong,1051,18.0,,,1,2137
30985,might lead to side effects,49.0,277.0,160.0,120.0,negative strong,1051,17.0,,,1,2137
30976,Untested technology,181.0,161.0,160.0,120.0,negative strong,1051,16.0,,,1,2137
30951,less functional,923.0,599.0,160.0,120.0,negative,1051,12.0,,,1,2137
30947,Can lead to fatigue,1128.0,601.0,160.0,120.0,negative,1051,11.0,,,1,2137
30939,person can work longer hours,1161.0,441.0,160.0,120.0,neutral,1051,10.0,,,1,2137
30927,increased concentration at work,790.0,389.0,160.0,120.0,positive strong,1051,9.0,,17:55:24,1,2137
30905,being irratible,657.0,270.0,160.0,120.0,positive,1051,8.0,,,1,2137
30887,cure sleeping disorder,564.0,142.0,160.0,120.0,positive,1051,7.0,,,1,2137
30878,more productivity,1081.0,280.0,160.0,120.0,positive strong,1051,6.0,,,1,2137
30860,improving peoples lives,1016.0,115.0,160.0,120.0,positive strong,1051,5.0,,17:51:56,1,2137
30842,devolping new technology,751.0,80.0,160.0,120.0,positive,1051,2.0,,17:50:57,1,2137
